"Latest: Wavelength (nm)","Latest: Intensity (rel)","Run 1: Wavelength (nm)","Run 1: Intensity (rel)"
410.366536771,0.165428605769,410.366536771,0.0494644230769
410.57845679,0.165934855769,410.57845679,0.0493956730769
410.790365793,0.121134855769,410.790365793,0.0360706730769
411.002263779,0.0709473557692,411.002263779,0.0198987980769
411.214150743,0.0340692307692,411.214150743,0.00912379807692
411.426026684,0.0124254807692,411.426026684,0.00371129807692
411.637891599,0.00725048076923,411.637891599,0.00267692307692
411.849745484,0.00605048076923,411.849745484,0.00239254807692
412.061588338,0.00588485576923,412.061588338,0.00234567307692
412.273420157,0.00582235576923,412.273420157,0.00297067307692
412.485240938,0.00521923076923,412.485240938,0.00226754807692
412.697050679,0.00593798076923,412.697050679,0.00242067307692
412.908849378,0.00691923076923,412.908849378,0.00317067307692
413.120637031,0.00735673076923,413.120637031,0.00338317307692
413.332413635,0.00738798076923,413.332413635,0.00297692307692
413.544179188,0.00746298076923,413.544179188,0.00258629807692
413.755933687,0.00676923076923,413.755933687,0.00275192307692
413.96767713,0.00624735576923,413.96767713,0.00218942307692
414.179409513,0.00600673076923,414.179409513,0.00229567307692
414.391130834,0.00625985576923,414.391130834,0.00254879807692
414.60284109,0.00561298076923,414.60284109,0.00210192307692
414.814540278,0.00638798076923,414.814540278,0.00283317307692
415.026228396,0.00627548076923,415.026228396,0.00211129807692
415.237905441,0.00645360576923,415.237905441,0.00263004807692
415.44957141,0.00581923076923,415.44957141,0.00203942307692
415.6612263,0.00628485576923,415.6612263,0.00205817307692
415.872870108,0.00648173076923,415.872870108,0.00230504807692
416.084502833,0.00600048076923,416.084502833,0.00223942307692
416.29612447,0.00651298076923,416.29612447,0.00197067307692
416.507735018,0.00678798076923,416.507735018,0.00258629807692
416.719334473,0.00664110576923,416.719334473,0.00233942307692
416.930922833,0.00705673076923,416.930922833,0.00223629807692
417.142500095,0.00714110576923,417.142500095,0.00281442307692
417.354066256,0.00640048076923,417.354066256,0.00260817307692
417.565621313,0.00689423076923,417.565621313,0.00276754807692
417.777165265,0.00558173076923,417.777165265,0.00301754807692
417.988698107,0.00566610576923,417.988698107,0.00458004807692
418.200219838,0.00570360576923,418.200219838,0.00597379807692
418.411730454,0.00565048076923,418.411730454,0.00704567307692
418.623229953,0.00520360576923,418.623229953,0.00692692307692
418.834718331,0.00508485576923,418.834718331,0.00546442307692
419.046195587,0.00505673076923,419.046195587,0.00408004807692
419.257661718,0.00461923076923,419.257661718,0.00307692307692
419.46911672,0.00414423076923,419.46911672,0.00181754807692
419.680560591,0.00563485576923,419.680560591,0.00279879807692
419.891993328,0.00543798076923,419.891993328,0.00206754807692
420.103414929,0.00537860576923,420.103414929,0.00209879807692
420.314825391,0.00535673076923,420.314825391,0.00240192307692
420.52622471,0.00512548076923,420.52622471,0.00247379807692
420.737612885,0.00559423076923,420.737612885,0.00263317307692
420.948989912,0.00517548076923,420.948989912,0.00248942307692
421.160355788,0.00543798076923,421.160355788,0.00326754807692
421.371710512,0.00569735576923,421.371710512,0.00353004807692
421.58305408,0.00569110576923,421.58305408,0.00394254807692
421.794386489,0.00633798076923,421.794386489,0.00458004807692
422.005707736,0.00645048076923,422.005707736,0.00564254807692
422.21701782,0.00574735576923,422.21701782,0.00626442307692
422.428316737,0.00499110576923,422.428316737,0.00717379807692
422.639604484,0.00537235576923,422.639604484,0.00747692307692
422.850881059,0.00533173076923,422.850881059,0.00688942307692
423.062146459,0.00591298076923,423.062146459,0.00539254807692
423.273400681,0.00534110576923,423.273400681,0.00343317307692
423.484643722,0.00582235576923,423.484643722,0.00289879807692
423.69587558,0.00595673076923,423.69587558,0.00215817307692
423.907096251,0.00605673076923,423.907096251,0.00155817307692
424.118305734,0.00556923076923,424.118305734,0.00163004807692
424.329504025,0.00441298076923,424.329504025,0.00134567307692
424.540691122,0.00370673076923,424.540691122,0.00172379807692
424.751867022,0.00336298076923,424.751867022,0.00161129807692
424.963031722,0.00288798076923,424.963031722,0.00151129807692
425.174185219,0.00241923076923,425.174185219,0.000869471153846
425.38532751,0.00291610576923,425.38532751,0.00199254807692
425.596458594,0.00300673076923,425.596458594,0.00139567307692
425.807578466,0.00266298076923,425.807578466,0.00137692307692
426.018687125,0.00257235576923,426.018687125,0.00132067307692
