"Latest: Time (s)","Latest: Temperature (°C)"
360.5,23.1245158883
361,23.1245158883
361.5,23.1245158883
362,23.1245158883
362.5,23.1245158883
363,23.1245158883
363.5,23.1245158883
364,23.1245158883
364.5,23.1245158883
365,23.1245158883
365.5,23.1245158883
366,23.1245158883
366.5,23.1245158883
367,23.1245158883
367.5,23.1245158883
368,23.1245158883
368.5,23.1245158883
369,23.1245158883
369.5,23.1245158883
370,23.1245158883
370.5,23.1870158892
371,23.1870158892
371.5,23.1870158892
372,23.1870158892
372.5,23.1870158892
373,23.1870158892
373.5,23.1870158892
374,23.1870158892
374.5,23.2495158901
375,23.2495158901
375.5,23.2495158901
376,23.2495158901
376.5,23.2495158901
377,23.2495158901
377.5,23.2495158901
378,23.2495158901
378.5,23.1870158892
379,23.1870158892
379.5,23.2495158901
380,23.2495158901
380.5,23.2495158901
381,23.2495158901
381.5,23.2495158901
382,23.2495158901
382.5,23.2495158901
383,23.2495158901
383.5,23.2495158901
384,23.2495158901
384.5,23.2495158901
385,23.2495158901
385.5,23.2495158901
386,23.2495158901
386.5,23.2495158901
387,23.2495158901
387.5,23.2495158901
388,23.2495158901
388.5,23.2495158901
389,23.2495158901
389.5,23.3120158911
390,23.3120158911
390.5,23.374515892
391,23.374515892
391.5,23.374515892
392,23.374515892
392.5,23.374515892
393,23.374515892
393.5,23.374515892
394,23.374515892
394.5,23.374515892
395,23.374515892
395.5,23.374515892
396,23.374515892
396.5,23.374515892
397,23.374515892
397.5,23.374515892
398,23.3120158911
398.5,23.374515892
399,23.374515892
399.5,23.374515892
400,23.374515892
400.5,23.374515892
401,23.374515892
401.5,23.374515892
402,23.374515892
402.5,23.374515892
403,23.374515892
403.5,23.374515892
404,23.374515892
404.5,23.374515892
405,23.374515892
405.5,23.374515892
406,23.374515892
406.5,23.374515892
407,23.374515892
407.5,23.374515892
408,23.374515892
408.5,23.4370158929
409,23.4370158929
409.5,23.4370158929
410,23.4370158929
410.5,23.374515892
411,23.374515892
411.5,23.374515892
412,23.4370158929
412.5,23.4370158929
413,23.4370158929
413.5,23.4370158929
414,23.4370158929
414.5,23.4370158929
415,23.4370158929
415.5,23.4370158929
416,23.4370158929
416.5,23.4370158929
417,23.4370158929
417.5,23.4370158929
418,23.4370158929
418.5,23.4370158929
419,23.4370158929
419.5,23.4370158929
420,23.4370158929
420.5,23.4370158929
421,23.4370158929
421.5,23.4370158929
422,23.4370158929
422.5,23.4370158929
423,23.4370158929
423.5,23.4370158929
424,23.4370158929
424.5,23.4370158929
425,23.4370158929
425.5,23.4370158929
426,23.4370158929
426.5,23.4370158929
427,23.4370158929
427.5,23.4370158929
428,23.4370158929
428.5,23.4370158929
429,23.4370158929
429.5,23.4370158929
430,23.4370158929
430.5,23.4995158939
431,23.4995158939
431.5,23.4995158939
432,23.4995158939
432.5,23.4995158939
433,23.4995158939
433.5,23.4995158939
434,23.4995158939
434.5,23.4995158939
435,23.4995158939
435.5,23.4995158939
436,23.4995158939
436.5,23.4995158939
437,23.4995158939
437.5,23.4995158939
438,23.4995158939
438.5,23.4995158939
439,23.4995158939
439.5,23.4995158939
440,23.4995158939
440.5,23.4995158939
441,23.4995158939
441.5,23.4995158939
442,23.4995158939
442.5,23.4995158939
443,23.4995158939
443.5,23.4995158939
444,23.4995158939
444.5,23.4995158939
445,23.4995158939
445.5,23.4995158939
446,23.4995158939
446.5,23.4995158939
447,23.4995158939
447.5,23.5620158948
448,23.5620158948
448.5,23.5620158948
449,23.5620158948
449.5,23.5620158948
450,23.5620158948
450.5,23.5620158948
451,23.5620158948
451.5,23.5620158948
452,23.5620158948
452.5,23.5620158948
453,23.5620158948
453.5,23.5620158948
454,23.5620158948
454.5,23.5620158948
455,23.5620158948
455.5,23.5620158948
456,23.5620158948
456.5,23.5620158948
457,23.5620158948
457.5,23.5620158948
458,23.5620158948
458.5,23.5620158948
459,23.5620158948
459.5,23.5620158948
460,23.5620158948
460.5,23.5620158948
461,23.5620158948
461.5,23.5620158948
462,23.5620158948
462.5,23.5620158948
463,23.5620158948
463.5,23.5620158948
464,23.5620158948
464.5,23.5620158948
465,23.5620158948
465.5,23.5620158948
466,23.5620158948
466.5,23.5620158948
467,23.5620158948
467.5,23.5620158948
468,23.5620158948
468.5,23.5620158948
469,23.5620158948
469.5,23.5620158948
470,23.5620158948
470.5,23.5620158948
471,23.5620158948
471.5,23.5620158948
472,23.5620158948
472.5,23.5620158948
473,23.5620158948
473.5,23.5620158948
474,23.5620158948
474.5,23.5620158948
475,23.5620158948
475.5,23.5620158948
476,23.5620158948
476.5,23.5620158948
477,23.5620158948
477.5,23.5620158948
478,23.5620158948
478.5,23.5620158948
479,23.5620158948
479.5,23.5620158948
480,23.5620158948
480.5,23.5620158948
481,23.5620158948
481.5,23.5620158948
482,23.5620158948
482.5,23.5620158948
483,23.5620158948
483.5,23.5620158948
484,23.5620158948
484.5,23.5620158948
