"group3 - RawData"
"Wavelength nm.","Abs."
546.45,0.032
546.50,0.032
546.55,0.031
546.60,0.033
546.65,0.030
546.70,0.030
546.75,0.031
546.80,0.029
546.85,0.029
546.90,0.031
546.95,0.027
547.00,0.030
547.05,0.027
547.10,0.028
547.15,0.029
547.20,0.031
547.25,0.031
547.30,0.030
547.35,0.030
547.40,0.031
547.45,0.027
547.50,0.028
547.55,0.027
547.60,0.028
547.65,0.027
547.70,0.026
547.75,0.027
547.80,0.028
547.85,0.030
547.90,0.039
547.95,0.042
548.00,0.040
548.05,0.041
548.10,0.041
548.15,0.040
548.20,0.040
548.25,0.038
548.30,0.039
548.35,0.037
548.40,0.038
548.45,0.036
548.50,0.035
548.55,0.036
548.60,0.034
548.65,0.035
548.70,0.035
548.75,0.030
548.80,0.033
548.85,0.031
548.90,0.031
548.95,0.032
549.00,0.030
549.05,0.032
549.10,0.029
549.15,0.029
549.20,0.029
549.25,0.030
549.30,0.029
549.35,0.028
549.40,0.029
549.45,0.033
549.50,0.033
549.55,0.032
549.60,0.034
549.65,0.031
549.70,0.031
549.75,0.029
549.80,0.030
549.85,0.030
549.90,0.029
549.95,0.028
550.00,0.029
550.05,0.026
550.10,0.026
550.15,0.025
550.20,0.027
550.25,0.026
550.30,0.024
550.35,0.030
550.40,0.035
550.45,0.039
550.50,0.042
550.55,0.040
550.60,0.040
550.65,0.038
550.70,0.036
550.75,0.036
550.80,0.036
550.85,0.035
550.90,0.034
550.95,0.034
551.00,0.034
551.05,0.033
551.10,0.032
551.15,0.032
551.20,0.032
551.25,0.032
551.30,0.032
551.35,0.031
551.40,0.031
551.45,0.030
551.50,0.030
551.55,0.031
551.60,0.030
551.65,0.028
551.70,0.029
551.75,0.028
551.80,0.028
551.85,0.030
551.90,0.031
551.95,0.033
552.00,0.031
552.05,0.031
552.10,0.031
552.15,0.031
552.20,0.029
552.25,0.030
552.30,0.030
552.35,0.029
552.40,0.029
552.45,0.028
552.50,0.028
552.55,0.027
552.60,0.028
552.65,0.027
552.70,0.027
552.75,0.028
552.80,0.027
552.85,0.025
552.90,0.025
552.95,0.027
553.00,0.032
553.05,0.035
553.10,0.038
553.15,0.038
553.20,0.039
553.25,0.036
553.30,0.035
553.35,0.035
553.40,0.036
553.45,0.034
553.50,0.035
553.55,0.034
553.60,0.034
553.65,0.033
553.70,0.032
553.75,0.033
553.80,0.033
553.85,0.030
553.90,0.031
553.95,0.030
554.00,0.028
554.05,0.029
554.10,0.030
554.15,0.030
554.20,0.027
554.25,0.027
554.30,0.027
554.35,0.030
554.40,0.032
554.45,0.031
554.50,0.032
554.55,0.032
554.60,0.031
554.65,0.029
554.70,0.031
554.75,0.031
554.80,0.029
554.85,0.030
554.90,0.029
554.95,0.028
555.00,0.027
555.05,0.027
555.10,0.026
555.15,0.027
555.20,0.027
555.25,0.026
555.30,0.025
555.35,0.025
555.40,0.024
555.45,0.026
555.50,0.024
555.55,0.025
555.60,0.024
555.65,0.025
555.70,0.030
555.75,0.034
555.80,0.036
555.85,0.035
555.90,0.036
555.95,0.034
556.00,0.034
556.05,0.034
556.10,0.034
556.15,0.032
556.20,0.032
556.25,0.032
556.30,0.029
556.35,0.030
556.40,0.030
556.45,0.029
556.50,0.026
556.55,0.028
556.60,0.028
556.65,0.029
556.70,0.028
556.75,0.028
556.80,0.027
556.85,0.026
556.90,0.024
556.95,0.027
557.00,0.032
557.05,0.035
557.10,0.032
557.15,0.032
557.20,0.031
557.25,0.030
557.30,0.031
557.35,0.030
557.40,0.029
557.45,0.030
557.50,0.028
557.55,0.028
557.60,0.028
557.65,0.028
557.70,0.029
557.75,0.025
557.80,0.028
557.85,0.029
557.90,0.027
557.95,0.026
558.00,0.023
558.05,0.026
558.10,0.025
558.15,0.024
558.20,0.024
558.25,0.024
558.30,0.022
558.35,0.023
558.40,0.023
558.45,0.025
558.50,0.021
558.55,0.026
558.60,0.034
558.65,0.032
558.70,0.032
558.75,0.033
558.80,0.029
558.85,0.031
558.90,0.030
558.95,0.032
559.00,0.028
559.05,0.029
559.10,0.029
559.15,0.027
559.20,0.028
559.25,0.029
559.30,0.029
559.35,0.026
559.40,0.026
559.45,0.026
559.50,0.024
559.55,0.027
559.60,0.026
559.65,0.025
559.70,0.026
559.75,0.029
559.80,0.031
559.85,0.031
559.90,0.032
559.95,0.031
560.00,0.030
560.05,0.030
560.10,0.029
560.15,0.028
560.20,0.028
560.25,0.028
560.30,0.029
560.35,0.028
560.40,0.027
560.45,0.025
560.50,0.027
560.55,0.026
560.60,0.025
560.65,0.025
560.70,0.025
560.75,0.024
560.80,0.026
560.85,0.023
560.90,0.023
560.95,0.024
561.00,0.023
561.05,0.021
561.10,0.022
561.15,0.020
561.20,0.022
561.25,0.021
561.30,0.022
561.35,0.022
561.40,0.025
561.45,0.031
561.50,0.029
561.55,0.030
561.60,0.028
561.65,0.029
561.70,0.028
561.75,0.027
561.80,0.028
561.85,0.027
561.90,0.027
561.95,0.026
562.00,0.026
562.05,0.024
562.10,0.026
562.15,0.026
562.20,0.024
562.25,0.024
562.30,0.023
562.35,0.024
562.40,0.026
562.45,0.029
562.50,0.032
562.55,0.030
562.60,0.030
562.65,0.030
562.70,0.031
562.75,0.027
562.80,0.032
562.85,0.029
562.90,0.027
562.95,0.029
563.00,0.028
563.05,0.028
563.10,0.027
563.15,0.025
563.20,0.026
563.25,0.024
563.30,0.028
563.35,0.025
563.40,0.024
563.45,0.023
563.50,0.022
563.55,0.022
563.60,0.023
563.65,0.023
563.70,0.024
563.75,0.022
563.80,0.024
563.85,0.021
563.90,0.021
563.95,0.022
564.00,0.020
564.05,0.020
564.10,0.022
564.15,0.022
564.20,0.021
564.25,0.019
564.30,0.020
564.35,0.022
564.40,0.027
564.45,0.030
564.50,0.028
564.55,0.027
564.60,0.026
564.65,0.027
564.70,0.025
564.75,0.023
564.80,0.024
564.85,0.025
564.90,0.025
564.95,0.023
565.00,0.024
565.05,0.022
565.10,0.023
565.15,0.023
565.20,0.024
565.25,0.021
565.30,0.029
565.35,0.029
565.40,0.031
565.45,0.030
565.50,0.030
565.55,0.030
565.60,0.030
565.65,0.028
565.70,0.030
565.75,0.028
565.80,0.027
565.85,0.027
565.90,0.027
565.95,0.025
566.00,0.027
566.05,0.025
566.10,0.027
566.15,0.026
566.20,0.023
566.25,0.024
566.30,0.026
566.35,0.024
566.40,0.022
566.45,0.025
566.50,0.023
566.55,0.022
566.60,0.023
566.65,0.024
566.70,0.022
566.75,0.024
566.80,0.022
566.85,0.021
566.90,0.019
566.95,0.022
567.00,0.020
567.05,0.020
567.10,0.020
567.15,0.019
567.20,0.021
567.25,0.019
567.30,0.018
567.35,0.018
567.40,0.021
567.45,0.022
567.50,0.025
567.55,0.025
567.60,0.024
567.65,0.025
567.70,0.023
567.75,0.024
567.80,0.023
