"hmm - RawData"
"Wavelength nm.","Abs."
543.55,0.041
543.60,0.042
543.65,0.038
543.70,0.039
543.75,0.040
543.80,0.038
543.85,0.037
543.90,0.038
543.95,0.035
544.00,0.037
544.05,0.037
544.10,0.034
544.15,0.034
544.20,0.034
544.25,0.033
544.30,0.034
544.35,0.032
544.40,0.034
544.45,0.031
544.50,0.032
544.55,0.034
544.60,0.030
544.65,0.031
544.70,0.030
544.75,0.030
544.80,0.031
544.85,0.029
544.90,0.031
544.95,0.032
545.00,0.032
545.05,0.031
545.10,0.029
545.15,0.030
545.20,0.030
545.25,0.028
545.30,0.030
545.35,0.029
545.40,0.029
545.45,0.032
545.50,0.043
545.55,0.045
545.60,0.044
545.65,0.044
545.70,0.042
545.75,0.044
545.80,0.043
545.85,0.042
545.90,0.041
545.95,0.040
546.00,0.040
546.05,0.037
546.10,0.037
546.15,0.038
546.20,0.038
546.25,0.034
546.30,0.036
546.35,0.034
546.40,0.032
546.45,0.033
546.50,0.034
546.55,0.032
546.60,0.033
546.65,0.030
546.70,0.031
546.75,0.031
546.80,0.030
546.85,0.031
546.90,0.031
546.95,0.028
547.00,0.031
547.05,0.029
547.10,0.029
547.15,0.031
547.20,0.030
547.25,0.033
547.30,0.031
547.35,0.032
547.40,0.032
547.45,0.030
547.50,0.028
547.55,0.030
547.60,0.030
547.65,0.026
547.70,0.027
547.75,0.030
547.80,0.028
547.85,0.030
547.90,0.035
547.95,0.043
548.00,0.042
548.05,0.043
548.10,0.043
548.15,0.042
548.20,0.040
548.25,0.038
548.30,0.042
548.35,0.039
548.40,0.039
548.45,0.039
548.50,0.037
548.55,0.038
548.60,0.036
548.65,0.038
548.70,0.036
548.75,0.031
548.80,0.033
548.85,0.035
548.90,0.033
548.95,0.033
549.00,0.030
549.05,0.031
549.10,0.031
549.15,0.030
549.20,0.031
549.25,0.032
549.30,0.030
549.35,0.029
549.40,0.029
549.45,0.033
549.50,0.034
549.55,0.033
549.60,0.033
549.65,0.032
549.70,0.032
549.75,0.032
549.80,0.029
549.85,0.031
549.90,0.030
549.95,0.031
550.00,0.031
550.05,0.028
550.10,0.028
550.15,0.026
550.20,0.028
550.25,0.027
550.30,0.025
550.35,0.030
550.40,0.037
550.45,0.041
550.50,0.041
550.55,0.041
550.60,0.041
550.65,0.041
550.70,0.039
550.75,0.038
550.80,0.038
550.85,0.038
550.90,0.036
550.95,0.036
551.00,0.035
551.05,0.034
551.10,0.033
551.15,0.034
551.20,0.035
551.25,0.033
551.30,0.035
551.35,0.033
551.40,0.032
551.45,0.032
551.50,0.030
551.55,0.030
551.60,0.033
551.65,0.030
551.70,0.029
551.75,0.030
551.80,0.029
551.85,0.032
551.90,0.034
551.95,0.033
552.00,0.032
552.05,0.032
552.10,0.031
552.15,0.033
552.20,0.030
552.25,0.032
552.30,0.029
552.35,0.030
552.40,0.029
552.45,0.030
552.50,0.030
552.55,0.026
552.60,0.030
552.65,0.029
552.70,0.027
552.75,0.029
552.80,0.028
552.85,0.026
552.90,0.025
552.95,0.027
553.00,0.035
553.05,0.037
553.10,0.040
553.15,0.040
553.20,0.038
553.25,0.038
553.30,0.037
553.35,0.036
553.40,0.038
553.45,0.034
553.50,0.036
553.55,0.036
553.60,0.034
553.65,0.035
553.70,0.032
553.75,0.033
553.80,0.034
553.85,0.032
553.90,0.033
553.95,0.031
554.00,0.031
554.05,0.031
554.10,0.029
554.15,0.030
554.20,0.029
554.25,0.027
554.30,0.027
554.35,0.030
554.40,0.033
554.45,0.032
554.50,0.033
554.55,0.032
554.60,0.033
554.65,0.031
554.70,0.032
554.75,0.032
554.80,0.030
554.85,0.029
554.90,0.030
554.95,0.029
555.00,0.030
555.05,0.027
555.10,0.028
555.15,0.027
555.20,0.027
555.25,0.030
555.30,0.025
555.35,0.027
555.40,0.024
555.45,0.026
555.50,0.025
555.55,0.025
555.60,0.025
555.65,0.026
555.70,0.028
555.75,0.034
555.80,0.036
555.85,0.037
555.90,0.036
555.95,0.036
556.00,0.036
556.05,0.034
556.10,0.034
556.15,0.033
556.20,0.033
556.25,0.033
556.30,0.032
556.35,0.032
556.40,0.031
556.45,0.030
556.50,0.028
556.55,0.029
556.60,0.031
556.65,0.031
556.70,0.031
556.75,0.027
556.80,0.028
556.85,0.027
556.90,0.028
556.95,0.028
557.00,0.032
557.05,0.034
557.10,0.032
557.15,0.033
557.20,0.032
557.25,0.031
557.30,0.032
557.35,0.031
557.40,0.029
557.45,0.029
557.50,0.029
557.55,0.028
557.60,0.029
557.65,0.029
557.70,0.030
557.75,0.028
557.80,0.028
557.85,0.030
557.90,0.027
557.95,0.027
558.00,0.025
558.05,0.028
558.10,0.027
558.15,0.025
558.20,0.025
558.25,0.024
558.30,0.022
558.35,0.025
558.40,0.023
558.45,0.026
558.50,0.023
558.55,0.030
558.60,0.035
558.65,0.033
558.70,0.033
558.75,0.032
558.80,0.032
558.85,0.032
558.90,0.031
558.95,0.032
559.00,0.028
559.05,0.030
559.10,0.028
559.15,0.029
559.20,0.029
559.25,0.029
559.30,0.028
559.35,0.027
559.40,0.028
559.45,0.026
559.50,0.026
559.55,0.026
559.60,0.027
559.65,0.027
559.70,0.028
559.75,0.034
559.80,0.033
559.85,0.032
559.90,0.033
559.95,0.032
560.00,0.030
560.05,0.030
560.10,0.030
560.15,0.030
560.20,0.030
560.25,0.030
560.30,0.029
560.35,0.029
560.40,0.026
560.45,0.027
560.50,0.027
560.55,0.026
560.60,0.026
560.65,0.025
560.70,0.028
560.75,0.025
560.80,0.026
560.85,0.025
560.90,0.025
560.95,0.025
561.00,0.025
561.05,0.022
561.10,0.024
561.15,0.021
561.20,0.024
561.25,0.023
561.30,0.023
561.35,0.023
561.40,0.025
561.45,0.031
561.50,0.030
561.55,0.030
561.60,0.030
561.65,0.030
561.70,0.029
561.75,0.028
561.80,0.029
561.85,0.028
561.90,0.027
561.95,0.026
562.00,0.026
562.05,0.026
562.10,0.027
562.15,0.027
562.20,0.025
562.25,0.025
562.30,0.024
562.35,0.025
562.40,0.025
562.45,0.029
562.50,0.034
562.55,0.032
562.60,0.033
562.65,0.030
562.70,0.032
562.75,0.029
562.80,0.032
562.85,0.030
562.90,0.029
562.95,0.030
563.00,0.028
563.05,0.029
563.10,0.027
563.15,0.027
563.20,0.026
563.25,0.026
563.30,0.030
563.35,0.027
563.40,0.026
563.45,0.024
563.50,0.024
563.55,0.024
563.60,0.024
563.65,0.025
563.70,0.024
563.75,0.024
563.80,0.025
563.85,0.022
563.90,0.024
563.95,0.024
564.00,0.023
