"mrg - RawData"
"Wavelength nm.","Abs."
537.50,0.031
537.55,0.031
537.60,0.030
537.65,0.031
537.70,0.029
537.75,0.030
537.80,0.029
537.85,0.028
537.90,0.027
537.95,0.025
538.00,0.026
538.05,0.025
538.10,0.025
538.15,0.024
538.20,0.024
538.25,0.023
538.30,0.023
538.35,0.023
538.40,0.023
538.45,0.022
538.50,0.024
538.55,0.023
538.60,0.033
538.65,0.039
538.70,0.039
538.75,0.039
538.80,0.039
538.85,0.040
538.90,0.037
538.95,0.038
539.00,0.037
539.05,0.035
539.10,0.034
539.15,0.037
539.20,0.036
539.25,0.034
539.30,0.034
539.35,0.030
539.40,0.033
539.45,0.032
539.50,0.031
539.55,0.032
539.60,0.031
539.65,0.031
539.70,0.030
539.75,0.029
539.80,0.028
539.85,0.028
539.90,0.027
539.95,0.026
540.00,0.028
540.05,0.027
540.10,0.026
540.15,0.024
540.20,0.025
540.25,0.026
540.30,0.025
540.35,0.023
540.40,0.021
540.45,0.025
540.50,0.024
540.55,0.022
540.60,0.022
540.65,0.023
540.70,0.023
540.75,0.025
540.80,0.031
540.85,0.038
540.90,0.040
540.95,0.041
541.00,0.039
541.05,0.038
541.10,0.039
541.15,0.037
541.20,0.037
541.25,0.037
541.30,0.037
541.35,0.035
541.40,0.034
541.45,0.036
541.50,0.033
541.55,0.032
541.60,0.031
541.65,0.033
541.70,0.031
541.75,0.029
541.80,0.028
541.85,0.030
541.90,0.029
541.95,0.027
542.00,0.029
542.05,0.027
542.10,0.027
542.15,0.027
542.20,0.027
542.25,0.025
542.30,0.025
542.35,0.025
542.40,0.025
542.45,0.023
542.50,0.025
542.55,0.023
542.60,0.022
542.65,0.023
542.70,0.025
542.75,0.023
542.80,0.021
542.85,0.024
542.90,0.023
542.95,0.023
543.00,0.023
543.05,0.028
543.10,0.036
543.15,0.039
543.20,0.037
543.25,0.037
543.30,0.036
543.35,0.037
543.40,0.034
543.45,0.034
543.50,0.034
543.55,0.033
543.60,0.034
543.65,0.029
543.70,0.033
543.75,0.032
543.80,0.030
543.85,0.029
543.90,0.032
543.95,0.027
544.00,0.029
544.05,0.029
544.10,0.027
544.15,0.028
544.20,0.027
544.25,0.027
544.30,0.026
544.35,0.025
544.40,0.027
544.45,0.025
544.50,0.025
544.55,0.024
544.60,0.024
544.65,0.023
544.70,0.024
544.75,0.022
544.80,0.023
544.85,0.023
544.90,0.024
544.95,0.025
545.00,0.024
545.05,0.024
545.10,0.023
545.15,0.023
545.20,0.023
545.25,0.021
545.30,0.022
545.35,0.021
545.40,0.024
545.45,0.025
545.50,0.035
545.55,0.039
545.60,0.038
545.65,0.037
545.70,0.036
545.75,0.036
545.80,0.034
545.85,0.035
545.90,0.032
545.95,0.032
546.00,0.032
546.05,0.031
546.10,0.029
546.15,0.031
546.20,0.030
546.25,0.028
546.30,0.029
546.35,0.028
546.40,0.026
546.45,0.027
546.50,0.027
546.55,0.025
546.60,0.027
546.65,0.023
546.70,0.024
546.75,0.023
546.80,0.024
546.85,0.023
546.90,0.024
546.95,0.023
547.00,0.026
547.05,0.021
547.10,0.024
547.15,0.023
547.20,0.023
547.25,0.027
547.30,0.023
547.35,0.023
547.40,0.024
547.45,0.022
547.50,0.022
547.55,0.024
547.60,0.022
547.65,0.021
547.70,0.021
547.75,0.023
547.80,0.022
547.85,0.023
547.90,0.029
547.95,0.036
548.00,0.035
548.05,0.036
548.10,0.036
548.15,0.033
548.20,0.034
548.25,0.034
548.30,0.034
548.35,0.032
548.40,0.032
548.45,0.031
548.50,0.031
548.55,0.032
548.60,0.028
548.65,0.030
548.70,0.028
548.75,0.024
548.80,0.027
548.85,0.026
548.90,0.027
548.95,0.026
549.00,0.024
549.05,0.026
549.10,0.024
549.15,0.024
549.20,0.025
549.25,0.024
549.30,0.023
549.35,0.022
549.40,0.023
549.45,0.027
549.50,0.027
549.55,0.027
549.60,0.028
549.65,0.026
549.70,0.024
549.75,0.024
549.80,0.023
549.85,0.025
549.90,0.022
549.95,0.023
550.00,0.023
550.05,0.022
550.10,0.024
550.15,0.021
550.20,0.020
550.25,0.021
550.30,0.020
550.35,0.025
550.40,0.032
550.45,0.036
550.50,0.034
550.55,0.034
550.60,0.037
550.65,0.032
550.70,0.033
550.75,0.030
550.80,0.032
550.85,0.031
550.90,0.029
550.95,0.030
551.00,0.029
551.05,0.029
551.10,0.028
551.15,0.027
551.20,0.028
551.25,0.028
551.30,0.030
551.35,0.025
551.40,0.025
551.45,0.026
551.50,0.025
551.55,0.025
551.60,0.025
551.65,0.022
551.70,0.024
551.75,0.023
551.80,0.024
551.85,0.026
551.90,0.027
551.95,0.027
552.00,0.026
552.05,0.027
552.10,0.026
552.15,0.026
552.20,0.025
552.25,0.024
552.30,0.022
552.35,0.024
552.40,0.024
552.45,0.023
552.50,0.023
552.55,0.021
552.60,0.023
552.65,0.021
552.70,0.022
552.75,0.022
552.80,0.021
552.85,0.019
552.90,0.020
552.95,0.023
553.00,0.028
553.05,0.031
553.10,0.032
553.15,0.033
553.20,0.032
553.25,0.030
553.30,0.031
553.35,0.031
553.40,0.030
553.45,0.028
553.50,0.030
553.55,0.030
553.60,0.027
553.65,0.029
553.70,0.026
553.75,0.027
553.80,0.026
553.85,0.026
553.90,0.023
553.95,0.025
554.00,0.024
554.05,0.023
554.10,0.025
554.15,0.023
554.20,0.023
554.25,0.022
554.30,0.021
554.35,0.026
554.40,0.027
554.45,0.025
554.50,0.027
554.55,0.026
554.60,0.025
554.65,0.024
554.70,0.024
554.75,0.026
554.80,0.023
554.85,0.024
554.90,0.023
554.95,0.023
555.00,0.023
555.05,0.020
555.10,0.022
555.15,0.019
555.20,0.021
555.25,0.022
555.30,0.020
555.35,0.019
555.40,0.019
555.45,0.019
555.50,0.018
555.55,0.019
555.60,0.020
555.65,0.020
555.70,0.024
555.75,0.028
555.80,0.031
555.85,0.028
555.90,0.028
555.95,0.030
556.00,0.028
556.05,0.027
556.10,0.030
556.15,0.027
556.20,0.026
556.25,0.027
556.30,0.024
556.35,0.025
556.40,0.026
556.45,0.023
556.50,0.022
556.55,0.022
556.60,0.023
556.65,0.024
556.70,0.022
556.75,0.021
556.80,0.022
556.85,0.020
556.90,0.021
556.95,0.020
557.00,0.024
557.05,0.028
557.10,0.027
557.15,0.026
557.20,0.025
557.25,0.024
557.30,0.025
557.35,0.024
557.40,0.023
557.45,0.023
557.50,0.023
557.55,0.022
557.60,0.023
557.65,0.022
557.70,0.023
557.75,0.020
557.80,0.022
557.85,0.022
