"i2 0.1 nm mskieh - RawData"
"Wavelength nm.","Abs."
564.30,0.085
564.40,0.084
564.50,0.093
564.60,0.092
564.70,0.092
564.80,0.091
564.90,0.089
565.00,0.088
565.10,0.083
565.20,0.090
565.30,0.091
565.40,0.097
565.50,0.093
565.60,0.097
565.70,0.092
565.80,0.092
565.90,0.090
566.00,0.090
566.10,0.090
566.20,0.089
566.30,0.091
566.40,0.085
566.50,0.088
566.60,0.087
566.70,0.084
566.80,0.086
566.90,0.082
567.00,0.083
567.10,0.082
567.20,0.081
567.30,0.079
567.40,0.081
567.50,0.089
567.60,0.089
567.70,0.086
567.80,0.091
567.90,0.084
568.00,0.085
568.10,0.086
568.20,0.088
568.30,0.095
568.40,0.094
568.50,0.093
568.60,0.095
568.70,0.092
568.80,0.089
568.90,0.089
569.00,0.088
569.10,0.087
569.20,0.084
569.30,0.086
569.40,0.086
569.50,0.083
569.60,0.084
569.70,0.087
569.80,0.085
569.90,0.081
570.00,0.082
570.10,0.084
570.20,0.081
570.30,0.082
570.40,0.083
570.50,0.081
570.60,0.083
570.70,0.086
570.80,0.084
570.90,0.084
571.00,0.084
571.10,0.086
571.20,0.088
571.30,0.092
571.40,0.089
571.50,0.095
571.60,0.094
571.70,0.090
571.80,0.089
571.90,0.087
572.00,0.089
572.10,0.085
572.20,0.088
572.30,0.085
572.40,0.085
572.50,0.085
572.60,0.086
572.70,0.085
572.80,0.083
572.90,0.082
573.00,0.081
573.10,0.083
573.20,0.079
573.30,0.079
573.40,0.077
573.50,0.079
573.60,0.077
573.70,0.077
573.80,0.078
573.90,0.085
574.00,0.082
574.10,0.085
574.20,0.082
574.30,0.081
574.40,0.086
574.50,0.089
574.60,0.089
574.70,0.090
574.80,0.089
574.90,0.086
575.00,0.089
575.10,0.085
575.20,0.087
575.30,0.087
575.40,0.083
575.50,0.084
575.60,0.084
575.70,0.085
575.80,0.081
575.90,0.083
576.00,0.083
576.10,0.079
576.20,0.079
576.30,0.079
576.40,0.080
576.50,0.082
576.60,0.079
576.70,0.079
576.80,0.078
576.90,0.078
577.00,0.079
577.10,0.077
577.20,0.076
577.30,0.083
577.40,0.080
577.50,0.079
577.60,0.080
577.70,0.082
577.80,0.089
577.90,0.087
578.00,0.088
578.10,0.087
578.20,0.084
578.30,0.086
578.40,0.086
578.50,0.085
578.60,0.085
578.70,0.085
578.80,0.085
578.90,0.083
579.00,0.082
579.10,0.083
579.20,0.080
579.30,0.084
579.40,0.083
579.50,0.083
579.60,0.080
579.70,0.077
579.80,0.078
579.90,0.079
580.00,0.080
580.10,0.077
580.20,0.074
580.30,0.074
580.40,0.074
580.50,0.077
580.60,0.075
580.70,0.075
580.80,0.078
580.90,0.077
581.00,0.076
581.10,0.082
581.20,0.082
581.30,0.084
581.40,0.081
581.50,0.084
581.60,0.087
581.70,0.090
581.80,0.084
581.90,0.084
582.00,0.081
582.10,0.083
582.20,0.083
582.30,0.082
582.40,0.083
582.50,0.081
582.60,0.079
582.70,0.080
582.80,0.079
582.90,0.080
583.00,0.078
583.10,0.077
583.20,0.076
583.30,0.078
583.40,0.079
583.50,0.075
583.60,0.076
583.70,0.073
583.80,0.077
583.90,0.078
584.00,0.075
584.10,0.076
584.20,0.077
584.30,0.076
584.40,0.077
584.50,0.081
584.60,0.083
584.70,0.086
584.80,0.081
584.90,0.084
585.00,0.086
585.10,0.083
585.20,0.083
585.30,0.084
585.40,0.082
585.50,0.083
585.60,0.083
585.70,0.080
585.80,0.078
585.90,0.080
586.00,0.078
586.10,0.081
586.20,0.076
586.30,0.077
586.40,0.080
586.50,0.078
586.60,0.078
586.70,0.077
586.80,0.078
586.90,0.072
587.00,0.078
587.10,0.075
587.20,0.076
587.30,0.072
587.40,0.076
587.50,0.076
587.60,0.073
587.70,0.072
587.80,0.070
587.90,0.074
588.00,0.075
588.10,0.079
588.20,0.079
588.30,0.081
588.40,0.082
588.50,0.083
588.60,0.081
588.70,0.083
588.80,0.085
588.90,0.082
589.00,0.081
589.10,0.080
589.20,0.078
589.30,0.081
589.40,0.077
589.50,0.079
589.60,0.079
589.70,0.079
589.80,0.076
589.90,0.077
590.00,0.074
590.10,0.076
590.20,0.079
590.30,0.074
590.40,0.075
590.50,0.074
590.60,0.070
590.70,0.073
590.80,0.072
590.90,0.072
591.00,0.069
591.10,0.069
591.20,0.073
591.30,0.073
591.40,0.072
591.50,0.072
591.60,0.071
591.70,0.074
591.80,0.078
591.90,0.085
592.00,0.080
592.10,0.083
592.20,0.079
592.30,0.082
592.40,0.077
592.50,0.077
592.60,0.080
592.70,0.079
592.80,0.075
592.90,0.079
593.00,0.080
593.10,0.079
593.20,0.077
593.30,0.076
593.40,0.079
593.50,0.075
593.60,0.075
593.70,0.074
593.80,0.075
593.90,0.074
594.00,0.074
594.10,0.071
594.20,0.073
594.30,0.073
594.40,0.075
594.50,0.073
594.60,0.070
594.70,0.071
594.80,0.069
594.90,0.071
595.00,0.072
595.10,0.072
595.20,0.071
595.30,0.073
595.40,0.079
595.50,0.080
595.60,0.082
595.70,0.084
595.80,0.080
595.90,0.078
596.00,0.080
596.10,0.078
596.20,0.079
596.30,0.076
596.40,0.076
596.50,0.077
596.60,0.071
596.70,0.074
596.80,0.077
596.90,0.073
597.00,0.076
597.10,0.072
597.20,0.073
597.30,0.073
597.40,0.074
597.50,0.073
597.60,0.072
597.70,0.073
597.80,0.070
597.90,0.073
598.00,0.068
598.10,0.073
598.20,0.072
598.30,0.070
598.40,0.071
598.50,0.073
598.60,0.071
598.70,0.070
598.80,0.068
598.90,0.073
599.00,0.071
599.10,0.074
599.20,0.075
599.30,0.077
599.40,0.076
599.50,0.075
599.60,0.077
599.70,0.074
599.80,0.076
599.90,0.075
600.00,0.077
600.10,0.071
600.20,0.074
600.30,0.075
600.40,0.075
600.50,0.073
600.60,0.074
600.70,0.074
600.80,0.071
600.90,0.074
601.00,0.074
601.10,0.072
601.20,0.074
601.30,0.071
601.40,0.071
601.50,0.073
601.60,0.070
601.70,0.071
601.80,0.071
601.90,0.071
602.00,0.071
602.10,0.071
602.20,0.071
602.30,0.072
602.40,0.069
602.50,0.073
602.60,0.071
602.70,0.074
602.80,0.069
602.90,0.073
603.00,0.073
603.10,0.074
603.20,0.080
603.30,0.077
603.40,0.075
603.50,0.079
603.60,0.076
603.70,0.079
603.80,0.077
603.90,0.075
604.00,0.074
604.10,0.074
604.20,0.075
604.30,0.073
604.40,0.075
604.50,0.073
604.60,0.072
604.70,0.074
604.80,0.074
604.90,0.074
605.00,0.068
605.10,0.070
605.20,0.069
605.30,0.071
605.40,0.073
605.50,0.071
605.60,0.074
605.70,0.069
605.80,0.072
605.90,0.070
606.00,0.070
606.10,0.069
606.20,0.070
606.30,0.070
606.40,0.071
606.50,0.073
606.60,0.068
606.70,0.069
606.80,0.070
606.90,0.074
607.00,0.076
607.10,0.075
607.20,0.075
607.30,0.073
607.40,0.075
607.50,0.073
607.60,0.074
607.70,0.073
607.80,0.072
607.90,0.075
608.00,0.075
608.10,0.074
608.20,0.072
608.30,0.071
608.40,0.072
608.50,0.073
608.60,0.074
608.70,0.073
608.80,0.072
608.90,0.070
609.00,0.075
609.10,0.070
609.20,0.073
609.30,0.070
609.40,0.070
609.50,0.075
609.60,0.069
609.70,0.071
609.80,0.071
609.90,0.071
610.00,0.066
610.10,0.070
610.20,0.069
610.30,0.069
610.40,0.071
610.50,0.066
610.60,0.067
610.70,0.067
610.80,0.074
610.90,0.069
611.00,0.075
611.10,0.070
611.20,0.073
611.30,0.072
611.40,0.070
611.50,0.073
611.60,0.069
611.70,0.072
611.80,0.073
611.90,0.070
612.00,0.072
612.10,0.076
612.20,0.069
612.30,0.071
612.40,0.074
612.50,0.075
612.60,0.068
612.70,0.071
612.80,0.073
612.90,0.071
613.00,0.071
613.10,0.072
613.20,0.073
613.30,0.069
613.40,0.071
