"rpcc - RawData"
"Wavelength nm.","Abs."
572.10,0.088
572.20,0.093
572.30,0.090
572.40,0.088
572.50,0.086
572.60,0.089
572.70,0.086
572.80,0.088
572.90,0.085
573.00,0.085
573.10,0.084
573.20,0.082
573.30,0.082
573.40,0.081
573.50,0.082
573.60,0.083
573.70,0.084
573.80,0.083
573.90,0.088
574.00,0.085
574.10,0.088
574.20,0.084
574.30,0.086
574.40,0.094
574.50,0.092
574.60,0.093
574.70,0.092
574.80,0.089
574.90,0.090
575.00,0.091
575.10,0.092
575.20,0.090
575.30,0.091
575.40,0.089
575.50,0.088
575.60,0.088
575.70,0.089
575.80,0.088
575.90,0.085
576.00,0.085
576.10,0.086
576.20,0.083
576.30,0.085
576.40,0.083
576.50,0.084
576.60,0.081
576.70,0.082
576.80,0.083
576.90,0.084
577.00,0.081
577.10,0.079
577.20,0.079
577.30,0.085
577.40,0.082
577.50,0.084
577.60,0.079
577.70,0.090
577.80,0.092
577.90,0.090
578.00,0.092
578.10,0.089
578.20,0.087
578.30,0.090
578.40,0.086
578.50,0.086
578.60,0.088
578.70,0.089
578.80,0.089
578.90,0.087
579.00,0.087
579.10,0.088
579.20,0.083
579.30,0.086
579.40,0.084
579.50,0.085
579.60,0.079
579.70,0.080
579.80,0.080
579.90,0.082
580.00,0.085
580.10,0.078
580.20,0.081
580.30,0.080
580.40,0.080
580.50,0.081
580.60,0.078
580.70,0.079
580.80,0.081
580.90,0.080
581.00,0.082
581.10,0.089
581.20,0.086
581.30,0.086
581.40,0.086
581.50,0.088
581.60,0.091
581.70,0.093
581.80,0.088
581.90,0.087
582.00,0.087
582.10,0.088
582.20,0.085
582.30,0.081
582.40,0.084
582.50,0.082
582.60,0.081
582.70,0.080
582.80,0.084
582.90,0.084
583.00,0.084
583.10,0.084
583.20,0.083
583.30,0.084
583.40,0.082
583.50,0.080
583.60,0.079
583.70,0.075
583.80,0.078
583.90,0.079
584.00,0.077
584.10,0.075
584.20,0.081
584.30,0.076
584.40,0.081
584.50,0.086
584.60,0.085
584.70,0.087
584.80,0.084
584.90,0.090
585.00,0.090
585.10,0.086
585.20,0.087
585.30,0.086
585.40,0.083
585.50,0.080
585.60,0.084
585.70,0.082
585.80,0.077
585.90,0.083
586.00,0.077
586.10,0.081
586.20,0.079
586.30,0.081
586.40,0.083
586.50,0.080
586.60,0.082
586.70,0.083
586.80,0.080
586.90,0.079
587.00,0.079
587.10,0.075
587.20,0.076
587.30,0.075
587.40,0.077
587.50,0.078
587.60,0.076
587.70,0.079
587.80,0.075
587.90,0.077
588.00,0.086
588.10,0.081
588.20,0.083
588.30,0.089
588.40,0.086
588.50,0.086
588.60,0.085
588.70,0.085
588.80,0.089
588.90,0.084
589.00,0.082
589.10,0.086
589.20,0.082
589.30,0.082
589.40,0.076
589.50,0.079
589.60,0.079
589.70,0.080
589.80,0.078
589.90,0.081
590.00,0.078
590.10,0.079
590.20,0.082
590.30,0.078
590.40,0.080
590.50,0.078
590.60,0.074
590.70,0.079
590.80,0.080
590.90,0.075
591.00,0.076
591.10,0.077
591.20,0.076
591.30,0.077
591.40,0.077
591.50,0.075
591.60,0.077
591.70,0.077
591.80,0.079
591.90,0.085
592.00,0.082
592.10,0.082
592.20,0.081
592.30,0.081
592.40,0.083
592.50,0.084
592.60,0.084
592.70,0.085
592.80,0.083
592.90,0.084
593.00,0.084
593.10,0.080
593.20,0.079
593.30,0.080
593.40,0.077
593.50,0.074
593.60,0.074
593.70,0.074
593.80,0.076
593.90,0.075
594.00,0.077
594.10,0.075
594.20,0.078
594.30,0.076
594.40,0.075
594.50,0.078
594.60,0.076
594.70,0.078
594.80,0.073
594.90,0.077
595.00,0.077
595.10,0.076
595.20,0.074
595.30,0.081
595.40,0.083
595.50,0.082
595.60,0.081
595.70,0.083
595.80,0.081
595.90,0.078
596.00,0.080
596.10,0.079
596.20,0.077
596.30,0.079
596.40,0.078
596.50,0.078
596.60,0.077
596.70,0.078
596.80,0.077
596.90,0.076
597.00,0.080
597.10,0.079
597.20,0.075
597.30,0.074
597.40,0.076
597.50,0.074
597.60,0.075
597.70,0.075
597.80,0.074
597.90,0.075
598.00,0.074
598.10,0.074
598.20,0.075
598.30,0.074
598.40,0.071
598.50,0.074
598.60,0.074
598.70,0.074
598.80,0.070
598.90,0.074
599.00,0.071
599.10,0.076
599.20,0.078
599.30,0.082
599.40,0.076
599.50,0.078
599.60,0.079
599.70,0.079
599.80,0.079
599.90,0.077
600.00,0.076
600.10,0.079
600.20,0.080
600.30,0.081
600.40,0.079
600.50,0.078
600.60,0.081
600.70,0.077
600.80,0.077
600.90,0.077
601.00,0.078
601.10,0.079
601.20,0.080
601.30,0.077
601.40,0.074
601.50,0.079
601.60,0.078
601.70,0.078
601.80,0.075
601.90,0.077
602.00,0.075
602.10,0.074
602.20,0.075
602.30,0.075
602.40,0.074
602.50,0.073
602.60,0.074
602.70,0.071
602.80,0.072
602.90,0.075
603.00,0.079
603.10,0.078
603.20,0.079
603.30,0.081
603.40,0.077
603.50,0.081
603.60,0.080
603.70,0.079
603.80,0.079
603.90,0.080
604.00,0.079
604.10,0.079
604.20,0.080
604.30,0.079
604.40,0.077
604.50,0.078
604.60,0.077
604.70,0.072
604.80,0.076
604.90,0.074
605.00,0.073
605.10,0.072
605.20,0.073
605.30,0.074
605.40,0.072
605.50,0.073
605.60,0.074
605.70,0.073
605.80,0.074
605.90,0.073
606.00,0.074
606.10,0.071
606.20,0.071
606.30,0.073
606.40,0.076
606.50,0.072
606.60,0.074
606.70,0.073
606.80,0.075
606.90,0.079
607.00,0.081
607.10,0.082
607.20,0.080
607.30,0.082
607.40,0.080
607.50,0.079
607.60,0.080
607.70,0.078
607.80,0.080
607.90,0.079
608.00,0.079
608.10,0.081
608.20,0.080
608.30,0.076
608.40,0.078
608.50,0.079
608.60,0.076
608.70,0.078
608.80,0.079
608.90,0.076
609.00,0.080
609.10,0.078
609.20,0.076
609.30,0.075
609.40,0.080
609.50,0.080
609.60,0.079
609.70,0.080
609.80,0.078
609.90,0.079
610.00,0.076
610.10,0.077
610.20,0.080
610.30,0.079
610.40,0.075
610.50,0.075
610.60,0.073
610.70,0.075
610.80,0.081
610.90,0.078
611.00,0.085
611.10,0.077
611.20,0.083
611.30,0.076
611.40,0.076
611.50,0.081
611.60,0.076
611.70,0.074
611.80,0.072
611.90,0.073
612.00,0.071
612.10,0.074
612.20,0.074
612.30,0.070
612.40,0.074
612.50,0.075
612.60,0.069
612.70,0.073
612.80,0.071
612.90,0.074
613.00,0.073
613.10,0.071
613.20,0.070
613.30,0.067
613.40,0.068
613.50,0.071
613.60,0.070
613.70,0.073
613.80,0.074
613.90,0.073
614.00,0.073
614.10,0.073
614.20,0.073
614.30,0.073
614.40,0.075
614.50,0.075
614.60,0.074
614.70,0.078
614.80,0.077
614.90,0.078
615.00,0.076
615.10,0.079
615.20,0.077
615.30,0.077
615.40,0.078
615.50,0.078
615.60,0.074
615.70,0.079
615.80,0.074
615.90,0.075
616.00,0.079
616.10,0.070
616.20,0.072
616.30,0.071
616.40,0.073
616.50,0.070
616.60,0.072
616.70,0.074
616.80,0.076
616.90,0.071
617.00,0.074
617.10,0.078
617.20,0.075
617.30,0.074
617.40,0.075
617.50,0.075
617.60,0.073
617.70,0.074
617.80,0.073
617.90,0.070
618.00,0.070
618.10,0.068
618.20,0.072
618.30,0.070
618.40,0.070
618.50,0.072
618.60,0.076
618.70,0.077
618.80,0.078
618.90,0.079
619.00,0.076
619.10,0.078
619.20,0.078
619.30,0.076
619.40,0.076
619.50,0.071
619.60,0.073
619.70,0.075
619.80,0.073
619.90,0.068
620.00,0.073
620.10,0.074
620.20,0.076
620.30,0.077
620.40,0.077
620.50,0.074
620.60,0.068
620.70,0.073
620.80,0.071
620.90,0.071
621.00,0.074
621.10,0.075
621.20,0.074
621.30,0.074
621.40,0.078
621.50,0.074
621.60,0.077
621.70,0.073
621.80,0.073
621.90,0.075
622.00,0.077
622.10,0.076
622.20,0.075
622.30,0.071
622.40,0.072
622.50,0.072
622.60,0.070
622.70,0.069
622.80,0.068
622.90,0.070
623.00,0.071
623.10,0.073
623.20,0.075
623.30,0.079
623.40,0.077
623.50,0.075
623.60,0.077
623.70,0.071
623.80,0.069
623.90,0.071
624.00,0.071
624.10,0.072
624.20,0.069
624.30,0.071
624.40,0.072
624.50,0.074
624.60,0.076
624.70,0.077
624.80,0.076
624.90,0.075
625.00,0.072
625.10,0.072
625.20,0.076
625.30,0.075
625.40,0.073
625.50,0.070
